question,expected,retrieved,f1_score
How are Azure Data Factory pipelines and Azure Synapse pipelines different?,"Some examples of differences are support for global parameters, monitoring of Spark Jobs for Data Flow, and Integration Runtime sharing. For more information, check out this doc forData Integration - Synapse vs ADF.","Some examples of differences are support for global parameters, monitoring of Spark Jobs for Data Flow, and Integration Runtime sharing. For more information, check out this doc for Data Integration - Synapse vs ADF.",0.9608218669891357
How do I migrate existing pipelines from Azure Data Factory to an Azure Synapse workspace?,"At this time, you must manually recreate your Azure Data Factory pipelines and related artifacts by exporting the JSON from the original pipeline and importing it into your Synapse workspace.","At this time, you must manually recreate your Azure Data Factory pipelines and related artifacts by exporting the JSON from the original pipeline and importing it into your Synapse workspace.",1.0
How do I use an Apache Spark Job Definition?,Check out thisQuick Start Guide.,Check out this Quick Start Guide.,0.68721604347229
Can I call notebooks from ADF pipelines?,"There are two options for this use case. One option is to keep pipelines in ADF, and you will have to wrap in a web activity. For more information on this option, please view thisWeb Activity Guide. The other option is to migrate the pipelines to Synapse. For more information on the second option, check out thisMigration Code Sample.","There are two options for this use case. One option is to keep pipelines in ADF, and you will have to wrap in a web activity. For more information on this option, please view this Web Activity Guide. The other option is to migrate the pipelines to Synapse. For more information on the second option, check out this Migration Code Sample.",0.9749206304550171
What is the difference between Apache Spark for Synapse and Apache Spark?,"Apache Spark for Synapse is Apache Spark with added support for integrations with other services (Microsoft Entra ID, AzureML, etc.) and additional libraries (mssparkutils, Hummingbird) and pre-tuned performance configurations. Any workload that is currently running on Apache Spark will run on Apache Spark for Azure Synapse without change.","Apache Spark for Synapse is Apache Spark with added support for integrations with other services (Microsoft Entra ID, AzureML, etc.) and additional libraries (mssparkutils, Hummingbird) and pre-tuned performance configurations.
Any workload that is currently running on Apache Spark will run on Apache Spark for Azure Synapse without change.",1.0
What versions of Spark are available?,"As of September 2023, Azure Synapse Apache Spark fully supports Spark 3.3. For a full list of core components and currently supported versions seeApache Spark version support.","As of September 2023, Azure Synapse Apache Spark fully supports Spark 3.3. For a full list of core components and currently supported versions see Apache Spark version support.",0.9946472644805908
Is there an equivalent of DButils in Azure Synapse Spark?,"Yes, Azure Synapse Apache Spark provides themssparkutilslibrary. For full documentation of the utility seeIntroduction to Microsoft Spark utilities.","Yes, Azure Synapse Apache Spark provides the mssparkutils library. For full documentation of the utility see Introduction to Microsoft Spark utilities.",0.8261996507644653
How do I set session parameters in Apache Spark?,"To set session parameters, use %%configure magic available. A session restart is required for the parameters to take effect.","To set session parameters, use %%configure magic available. A session restart is required for the parameters to take effect.",1.0
How do I set cluster level parameters in a serverless Spark pool?,"To set cluster level parameters, you can provide a spark.conf file for the Spark pool. This pool will then honor the parameters past in the config file.","To set cluster level parameters, you can provide a spark.conf file for the Spark pool. This pool will then honor the parameters past in the config file.",1.0000001192092896
Can I run a multi-user Spark Cluster in Azure Synapse Analytics?,"Azure Synapse provides purpose-built engines for specific use cases. Apache Spark for Synapse is designed as a job service and not a cluster model.
There are two scenarios where people ask for a multi-user cluster model. Scenario #1: Many users accessing a cluster for serving data for BI purposes. The easiest way of accomplishing this task is to cook the data with Spark and then take advantage of the serving capabilities of Synapse SQL to that they can connect Power BI to those datasets. Scenario #2: Having multiple developers on a single cluster to save money. To satisfy this scenario, you should give each developer a serverless Spark pool that is set to use a small number of Spark resources. Since serverless Spark pools don't cost anything, until they are actively used minimizes the cost when there are multiple developers. The pools share metadata (Spark tables) so they can easily work with each other.","Azure Synapse provides purpose-built engines for specific use cases. Apache Spark for Synapse is designed as a job service and not a cluster model.
There are two scenarios where people ask for a multi-user cluster model.
Scenario #1: Many users accessing a cluster for serving data for BI purposes.
The easiest way of accomplishing this task is to cook the data with Spark and then take advantage of the serving capabilities of Synapse SQL to that they can connect Power BI to those datasets.
Scenario #2: Having multiple developers on a single cluster to save money.
To satisfy this scenario, you should give each developer a serverless Spark pool that is set to use a small number of Spark resources. Since serverless Spark pools don't cost anything, until they are actively used minimizes the cost when there are multiple developers. The pools share metadata (Spark tables) so they can easily work with each other.",1.0
"How do I include, manage, and install libraries?","You can install external packages via a requirements.txt file while creating the Spark pool, from the synapse workspace, or from the Azure portal. SeeManage libraries for Apache Spark in Azure Synapse Analytics.","You can install external packages via a requirements.txt file while creating the Spark pool, from the synapse workspace, or from the Azure portal. See Manage libraries for Apache Spark in Azure Synapse Analytics.",0.9954560399055481
What tools are available to me on Synapse Spark?,"MSSparkUtils on Synapse Spark offers a variety of utilities to enhance your experience and to make integration with other tools and services easier. Work with file systems, get environment variables, chain notebooks together, and work with secrets with minimal manual steps. For full documentation, please visitMicrosoft Spark Utilities.","MSSparkUtils on Synapse Spark offers a variety of utilities to enhance your experience and to make integration with other tools and services easier. Work with file systems, get environment variables, chain notebooks together, and work with secrets with minimal manual steps. For full documentation, please visit Microsoft Spark Utilities.",0.9890252351760864
What is the difference between dedicated SQL pools (SQL DW) and dedicated SQL pools in Azure Synapse workspaces?,"Dedicated SQL pools (formerly SQL DW) are an Azure Platform-as-a-Service (PaaS) enterprise data warehousing platform. You can query existing dedicated SQL pools (formerly SQL DW) and also create new dedicated SQL pools in your Azure Synapse workspace. Not all features of the dedicated SQL pool in Azure Synapse workspaces apply to a standalone dedicated SQL pool (formerly SQL DW), and vice versa. For more information, seeWhat's the difference between Azure Synapse dedicated SQL pools (formerly SQL DW) and dedicated SQL pools in an Azure Synapse Analytics workspace?. To enable Azure Synapse workspace features for an existing dedicated SQL pool (formerly SQL DW), refer toHow to enable a workspace for your dedicated SQL pool (formerly SQL DW).","Dedicated SQL pools (formerly SQL DW) are an Azure Platform-as-a-Service (PaaS) enterprise data warehousing platform. You can query existing dedicated SQL pools (formerly SQL DW) and also create new dedicated SQL pools in your Azure Synapse workspace. Not all features of the dedicated SQL pool in Azure Synapse workspaces apply to a standalone dedicated SQL pool (formerly SQL DW), and vice versa. For more information, see What's the difference between Azure Synapse dedicated SQL pools (formerly SQL DW) and dedicated SQL pools in an Azure Synapse Analytics workspace?. To enable Azure Synapse workspace features for an existing dedicated SQL pool (formerly SQL DW), refer to How to enable a workspace for your dedicated SQL pool (formerly SQL DW).",0.9971008896827698
"Now that Azure Synapse is GA, how do I move my dedicated SQL pools that were previously standalone into Azure Synapse?","There is no â€œmoveâ€ or â€œmigrationâ€ necessary. You can choose to enable new workspace features on your existing pools. If you do, there are no breaking changes, instead you'll be able to use new features such as Synapse Studio, Spark, and serverless SQL pools. Not all features of the dedicated SQL pool in Azure Synapse workspaces apply to dedicated SQL pool (formerly SQL DW), and vice versa. To enable workspace features for an existing dedicated SQL pool (formerly SQL DW) refer toHow to enable a workspace for your dedicated SQL pool (formerly SQL DW).","There is no âmoveâ or âmigrationâ necessary. You can choose to enable new workspace features on your existing pools. If you do, there are no breaking changes, instead you'll be able to use new features such as Synapse Studio, Spark, and serverless SQL pools. Not all features of the dedicated SQL pool in Azure Synapse workspaces apply to dedicated SQL pool (formerly SQL DW), and vice versa. To enable workspace features for an existing dedicated SQL pool (formerly SQL DW) refer to How to enable a workspace for your dedicated SQL pool (formerly SQL DW).",0.9440383911132812
What is the default deployment of dedicated SQL pools now?,"By Default, all new dedicated SQL pools will be deployed to a workspace; however, if you need to you can still create a dedicated SQL pool (formerly SQL DW) in a standalone form factor.","By Default, all new dedicated SQL pools will be deployed to a workspace; however, if you need to you can still create a dedicated SQL pool (formerly SQL DW) in a standalone form factor.",1.0
How do I secure access to my Azure Synapse workspace?,"With or without amanaged virtual network, you can connect to your workspace from public networks. For more information, seeConnectivity Settings. Access from public networks can be controlled by enabling thepublic network access featureor theworkspace firewall. Alternatively, you can connect to your workspace using amanaged private endpointandPrivate Link. Synapse workspaces without theAzure Synapse Analytics Managed Virtual Networkdo not have the ability to connect via managed private endpoints.","With or without a managed virtual network, you can connect to your workspace from public networks. For more information, see Connectivity Settings. Access from public networks can be controlled by enabling the public network access feature or the workspace firewall. Alternatively, you can connect to your workspace using a managed private endpoint and Private Link. Synapse workspaces without the Azure Synapse Analytics Managed Virtual Network do not have the ability to connect via managed private endpoints.",0.8307141065597534
What is the policy for Azure SDKs?,"Microsoft will provide notification 12 months before retiring an SDK to smooth the transition to a supported version. For more details, refer to the  SDK support guidelines .","Microsoft will provide notification 12 months before retiring an SDK to smooth the transition to a supported version. For more details, refer to the SDK support guidelines.",1.0
What is the policy for Azure Cloud Services (classic and extended support)?,"Guest OS 
 Microsoft Azure Cloud Services will support no fewer than the latest two Guest OS Families for deploying new Cloud Services. Microsoft will provide notification 12 months before retiring a Guest OS family to smooth the transition to a supported Guest OS family. For more information about supported Guest OS families, please refer toÂ  Microsoft Azure Guest OS Releases and SDK Compatibility Matrix . 
 Azure SDK 
 The Microsoft Azure SDK policy covers Microsoft Azure SDK authoring tools, REST APIs, client libraries, command-line utilities, compute & storage emulators, and Azure Tools for Microsoft Visual Studio. 
 Microsoft Azure Cloud Services will support no fewer than the latest two SDK versions for deploying new Cloud Services. Microsoft will provide notification 12 months before retiring an SDK to smooth the transition to a supported version.","Guest OS
Microsoft Azure Cloud Services will support no fewer than the latest two Guest OS Families for deploying new Cloud Services. Microsoft will provide notification 12 months before retiring a Guest OS family to smooth the transition to a supported Guest OS family. For more information about supported Guest OS families, please refer toÂ Microsoft Azure Guest OS Releases and SDK Compatibility Matrix.
Azure SDK
The Microsoft Azure SDK policy covers Microsoft Azure SDK authoring tools, REST APIs, client libraries, command-line utilities, compute & storage emulators, and Azure Tools for Microsoft Visual Studio.
Microsoft Azure Cloud Services will support no fewer than the latest two SDK versions for deploying new Cloud Services. Microsoft will provide notification 12 months before retiring an SDK to smooth the transition to a supported version.",1.0
What is a Distributed Denial of Service (DDoS) attack?,"Distributed denial of service, or DDoS, is a type of attack where an attacker sends more requests to an application than the application is capable of handling. The resulting effect is resources being depleted, affecting the applicationâs availability and ability to service its customers. Over the past few years, the industry has seen a sharp increase in attacks, with attacks becoming more sophisticated and larger in magnitude. DDoS attacks can be targeted at any endpoint that is publicly reachable through the Internet.","Distributed denial of service, or DDoS, is a type of attack where an attacker sends more requests to an application than the application is capable of handling. The resulting effect is resources being depleted, affecting the applicationâs availability and ability to service its customers. Over the past few years, the industry has seen a sharp increase in attacks, with attacks becoming more sophisticated and larger in magnitude. DDoS attacks can be targeted at any endpoint that is publicly reachable through the Internet.",1.0000001192092896
What is Azure DDoS Protection service?,"Azure DDoS Protection, combined with application design best practices, provides enhanced DDoS mitigation features to defend against DDoS attacks. It's automatically tuned to help protect your specific Azure resources in a virtual network. Protection is simple to enable on any new or existing virtual network, and it requires no application or resource changes. For more information, see  Azure DDoS Protection overview .Â ","Azure DDoS Protection, combined with application design best practices, provides enhanced DDoS mitigation features to defend against DDoS attacks. It's automatically tuned to help protect your specific Azure resources in a virtual network. Protection is simple to enable on any new or existing virtual network, and it requires no application or resource changes. For more information, see Azure DDoS Protection overview.Â",1.0
How does pricing work?,"DDoS protection plans have a fixed monthly charge that covers up to 100 public IP addresses. Protection for additional resources is available. 
 Under a tenant, a single DDoS protection plan can be used across multiple subscriptions, so there's no need to create more than one DDoS protection plan. 
 When Application Gateway with WAF is deployed in a DDoS protected VNet, there are no extra charges for WAF - you pay for the Application Gateway at the  lower non-WAF rate . This policy applies to both Application Gateway v1 and v2 SKUs. 
 See  Azure DDoS Protection pricing  for pricing and more details.","DDoS protection plans have a fixed monthly charge that covers up to 100 public IP addresses. Protection for additional resources is available.
Under a tenant, a single DDoS protection plan can be used across multiple subscriptions, so there's no need to create more than one DDoS protection plan.
When Application Gateway with WAF is deployed in a DDoS protected VNet, there are no extra charges for WAF - you pay for the Application Gateway at the lower non-WAF rate. This policy applies to both Application Gateway v1 and v2 SKUs.
See Azure DDoS Protection pricing for pricing and more details.",0.9999999403953552
Which Azure DDoS Protection tier should I choose?,"If you need to protect less than 15 public IP resources, the IP Protection tier is the more cost-effective option. If you have more than 15 public IP resources to protect, then the Network Protection tier is more cost-effective. Network Protection also offers additional features, including DDoS Protection Rapid Response (DRR), cost protection guarantees, and Web Application Firewall (WAF) discounts.","If you need to protect less than 15 public IP resources, the IP Protection tier is the more cost-effective option. If you have more than 15 public IP resources to protect, then the Network Protection tier is more cost-effective. Network Protection also offers additional features, including DDoS Protection Rapid Response (DRR), cost protection guarantees, and Web Application Firewall (WAF) discounts.",1.0
Is the service zone resilient?,Yes. Azure DDoS Protection is zone-resilient by default.,Yes. Azure DDoS Protection is zone-resilient by default.,1.0
How do I configure the service to be zone-resilient?,No customer configuration is necessary to enable zone-resiliency. Zone-resiliency for Azure DDoS Protection resources is available by default and managed by the service itself.,No customer configuration is necessary to enable zone-resiliency. Zone-resiliency for Azure DDoS Protection resources is available by default and managed by the service itself.,1.0
What about protection at the service layer (layer 7)?,"Customers can use Azure DDoS Protection service in combination with a Web Application Firewall (WAF) to for protection both at the network layer (Layer 3 and 4, offered by Azure DDoS Protection) and at the application layer (Layer 7, offered by a WAF). WAF offerings include Azure  Application Gateway WAF SKU  and third-party web application firewall offerings available in the  Azure Marketplace .","Customers can use Azure DDoS Protection service in combination with a Web Application Firewall (WAF) to for protection both at the network layer (Layer 3 and 4, offered by Azure DDoS Protection) and at the application layer (Layer 7, offered by a WAF). WAF offerings include Azure Application Gateway WAF SKU and third-party web application firewall offerings available in the Azure Marketplace.",1.0000001192092896
Are services unsafe in Azure without the service?,"Services running on Azure are inherently protected by the default infrastructure-level DDoS protection. However, the protection that safeguards the infrastructure has a much higher threshold than most applications have the capacity to handle, and does not provide telemetry or alerting, so while a traffic volume may be perceived as harmless by the platform, it can be devastating to the application that receives it. 
 By onboarding to the Azure DDoS Protection Service, the application gets dedicated monitoring to detect attacks and application specific thresholds. A service will be protected with a profile that is tuned to its expected traffic volume, providing a much tighter defense against DDoS attacks.","Services running on Azure are inherently protected by the default infrastructure-level DDoS protection. However, the protection that safeguards the infrastructure has a much higher threshold than most applications have the capacity to handle, and does not provide telemetry or alerting, so while a traffic volume may be perceived as harmless by the platform, it can be devastating to the application that receives it.
By onboarding to the Azure DDoS Protection Service, the application gets dedicated monitoring to detect attacks and application specific thresholds. A service will be protected with a profile that is tuned to its expected traffic volume, providing a much tighter defense against DDoS attacks.",1.0
What are the supported protected resource types?,"Public IPs in ARM based VNETs are currently the only type of protected resource. Protected resources include public IPs attached to an IaaS VM, Load Balancer (Classic & Standard Load Balancers), Application Gateway (including WAF) cluster, Firewall, Bastion, VPN Gateway, Service Fabric or an IaaS based Network Virtual Appliance (NVA). Protection also covers public IP ranges brought to Azure via Custom IP Prefixes (BYOIPs). 
 To learn about limitations, see  Azure DDoS Protection reference architectures .","Public IPs in ARM based VNETs are currently the only type of protected resource. Protected resources include public IPs attached to an IaaS VM, Load Balancer (Classic & Standard Load Balancers), Application Gateway (including WAF) cluster, Firewall, Bastion, VPN Gateway, Service Fabric or an IaaS based Network Virtual Appliance (NVA). Protection also covers public IP ranges brought to Azure via Custom IP Prefixes (BYOIPs).
To learn about limitations, see Azure DDoS Protection reference architectures.",1.0
Are Classic/RDFE protected resources supported?,"Only ARM based protected resources are supported in preview. VMs in Classic/RDFE deployments are not supported. Support is not currently planned for Classic/RDFE resources.Â For more information, see  Azure DDoS Protection reference architectures .","Only ARM based protected resources are supported in preview. VMs in Classic/RDFE deployments are not supported. Support is not currently planned for Classic/RDFE resources.Â For more information, see Azure DDoS Protection reference architectures.",0.9999998807907104
Can I protect my PaaS resources using DDoS Protection?,"Public IPs attached to multi-tenant, single VIP PaaS services are not supported presently. Examples of unsupported resources include Storage VIPs, Event Hubs VIPs and App/Cloud Services applications.Â For more information, see  Azure DDoS Protection reference architectures .","Public IPs attached to multi-tenant, single VIP PaaS services are not supported presently. Examples of unsupported resources include Storage VIPs, Event Hubs VIPs and App/Cloud Services applications.Â For more information, see Azure DDoS Protection reference architectures.",1.0
Can I protect my on-premises resources using DDoS Protection?,"You need to have the public endpoints of your service associated to a VNet in Azure to be enabled for DDoS protection. Example designs include: 
 
 Web sites (IaaS) in Azure and backend databases in on-premises datacenter. 
 Application Gateway in Azure (DDoS protection enabled on App Gateway/WAF) and websites in on-premises datacenters. 
 
 For more information, see  Azure DDoS Protection reference architectures .","You need to have the public endpoints of your service associated to a VNet in Azure to be enabled for DDoS protection. Example designs include:

Web sites (IaaS) in Azure and backend databases in on-premises datacenter.
Application Gateway in Azure (DDoS protection enabled on App Gateway/WAF) and websites in on-premises datacenters.

For more information, see Azure DDoS Protection reference architectures.",1.0000001192092896
Can I register a domain outside of Azure and associate that to a protected resource like VM or ELB?,"For the Public IP scenarios, DDoS Protection service will support any application regardless of where the associated domain is registered or hosted as long as the associated Public IP is hosted on Azure.","For the Public IP scenarios, DDoS Protection service will support any application regardless of where the associated domain is registered or hosted as long as the associated Public IP is hosted on Azure.",1.0
Can I manually configure the DDoS policy applied to the VNets/Public IPs?,"No, unfortunately policy customization is not available at this moment.","No, unfortunately policy customization is not available at this moment.",1.0
Can I allowlist/blocklist specific IP addresses?,"No, unfortunately manual configuration is not available at this moment.","No, unfortunately manual configuration is not available at this moment.",1.0000001192092896
How can I test DDoS Protection?,See  testing through simulations .,See testing through simulations.,1.0000001192092896
How long does it take for the metrics to load on portal?,"The metrics should be visible on portal within 5 minutes. If your resource is under attack, other metrics will start showing up on portal within 5-7 minutes.","The metrics should be visible on portal within 5 minutes. If your resource is under attack, other metrics will start showing up on portal within 5-7 minutes.",1.0000001192092896
Does the service store customer data?,"No, Azure DDoS protection does not store customer data.","No, Azure DDoS protection does not store customer data.",1.0
Is a single VM deployment behind public IP supported?,"Scenarios in which a single VM is running behind a public IP is supported but not recommended. DDoS mitigation might not initiate instantaneously when DDoS attack is detected. As a result, a single VM deployment that canât scale out will go down in such cases. For more information, see  Fundamental best practices .","Scenarios in which a single VM is running behind a public IP is supported but not recommended. DDoS mitigation might not initiate instantaneously when DDoS attack is detected. As a result, a single VM deployment that canât scale out will go down in such cases. For more information, see Fundamental best practices.",1.0
Device isn't being added to the device group specified in the Windows Autopilot device preparation policy.,"
 Verify that  Intune Provisioning Client  is set as the owner for the device group specified in the Windows Autopilot device preparation policy. For more information,  Create a device group . 
 
 Verify that the correct device group is specified in the Windows Autopilot device preparation policy. For more information, see  Create a Windows Autopilot device preparation policy  and  Create a device group . 
 
 Verify that  Microsoft Entra roles can be assigned to the group  setting in the device group is set to  No . For more information, see  Create a device group . 
 
 Verify that the admin creating the Autopilot device preparation policy has the  Enrollment time device membership assignment  RBAC permission. For more information, see  Required RBAC permissions . 
 
","Verify that Intune Provisioning Client is set as the owner for the device group specified in the Windows Autopilot device preparation policy. For more information, Create a device group.

Verify that the correct device group is specified in the Windows Autopilot device preparation policy. For more information, see Create a Windows Autopilot device preparation policy and Create a device group.

Verify that Microsoft Entra roles can be assigned to the group setting in the device group is set to No. For more information, see Create a device group.

Verify that the admin creating the Autopilot device preparation policy has the Enrollment time device membership assignment RBAC permission. For more information, see Required RBAC permissions.",1.0000001192092896
Windows Autopilot device preparation experience never launches during the out-of-box experience (OOBE).,"
 Verify that the minimum version of Windows is being used as documented in  Software requirements . This requirement includes that the minimum required update is installed before starting the device for the first time: 
 
 Verify with OEMs that devices shipped from the OEM have the minimum required update installed. 
 
 If installing Windows from installation media, verify that the media has the minimum required update installed. Updated Windows installation media with the latest cumulative update already installed is available at the  Volume Licensing Service Center (VLSC) . 
 
 
 
 Windows Autopilot device preparation doesn't use the Enrollment Status Page (ESP). Since Windows Autopilot device preparation doesn't use the ESP, the ESP shouldn't display during a Windows Autopilot device preparation deployment. If the ESP displays during the deployment, then the device isn't running a Windows Autopilot device preparation deployment. Instead, the device might be: 
 
 A Windows Autopilot registered device. 
 A Windows Autopilot profile is assigned to the device. 
 
 Verify that the device isn't registered as a Windows Autopilot device and that a Windows Autopilot profile isn't assigned to the device. Windows Autopilot profiles take precedence over Windows Autopilot device preparation policies. 
 If a device needs to be removed as a Windows Autopilot device, see  Deregister a device . 
 
 Verify that the user signing into the device during OOBE is a member of the user group specified in the Windows Autopilot device preparation policy. For more information, see  Create a Windows Autopilot device preparation policy  and  Create a user group . 
 
 Verify that a device group is selected in the Windows Autopilot device preparation policy. A Windows Autopilot device preparation policy can be created without selecting a device group. For more information, see  Create a Windows Autopilot device preparation policy  and  Create a device group . 
 
 If using corporate identifiers in Intune, make sure that a corporate identifier is added for the device. For more information, see  Add Windows corporate identifiers . 
 
 Verify that Windows automatic Intune enrollment is configured. 
 
 Verify that users are allowed to join device to Microsoft Entra ID. 
 
","Verify that the minimum version of Windows is being used as documented in Software requirements. This requirement includes that the minimum required update is installed before starting the device for the first time:

Verify with OEMs that devices shipped from the OEM have the minimum required update installed.

If installing Windows from installation media, verify that the media has the minimum required update installed. Updated Windows installation media with the latest cumulative update already installed is available at the Volume Licensing Service Center (VLSC).



Windows Autopilot device preparation doesn't use the Enrollment Status Page (ESP). Since Windows Autopilot device preparation doesn't use the ESP, the ESP shouldn't display during a Windows Autopilot device preparation deployment. If the ESP displays during the deployment, then the device isn't running a Windows Autopilot device preparation deployment. Instead, the device might be:

A Windows Autopilot registered device.
A Windows Autopilot profile is assigned to the device.

Verify that the device isn't registered as a Windows Autopilot device and that a Windows Autopilot profile isn't assigned to the device. Windows Autopilot profiles take precedence over Windows Autopilot device preparation policies.
If a device needs to be removed as a Windows Autopilot device, see Deregister a device.

Verify that the user signing into the device during OOBE is a member of the user group specified in the Windows Autopilot device preparation policy. For more information, see Create a Windows Autopilot device preparation policy and Create a user group.

Verify that a device group is selected in the Windows Autopilot device preparation policy. A Windows Autopilot device preparation policy can be created without selecting a device group. For more information, see Create a Windows Autopilot device preparation policy and Create a device group.

If using corporate identifiers in Intune, make sure that a corporate identifier is added for the device. For more information, see Add Windows corporate identifiers.

Verify that Windows automatic Intune enrollment is configured.

Verify that users are allowed to join device to Microsoft Entra ID.",1.000000238418579
Applications or PowerShell scripts aren't getting installed.,"
 If the applications or PowerShell scripts are showing  Skipped  in the details of the Windows Autopilot device preparation deployment report, verify that they're assigned to the device group specified in the Windows Autopilot device preparation policy. For more information, see  Windows Autopilot device preparation policy configuration settings  and  Create a device group . 
 
 Verify that the application or PowerShell script is configured to install in the  System  context. During OOBE, applications are installed and PowerShell scripts run when no user is signed in. For this reason, they must be configured to install in the  System  context. 
 
","If the applications or PowerShell scripts are showing Skipped in the details of the Windows Autopilot device preparation deployment report, verify that they're assigned to the device group specified in the Windows Autopilot device preparation policy. For more information, see Windows Autopilot device preparation policy configuration settings and Create a device group.

Verify that the application or PowerShell script is configured to install in the System context. During OOBE, applications are installed and PowerShell scripts run when no user is signed in. For this reason, they must be configured to install in the System context.",1.0
